Shelter Name,Service Provider,Address,Clean Address,Postal Code,Latitude,Longitude,Google Maps Link,Google Directions Link,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email
Anderson Lodge Healing Centre for Women,Circle of Eagles Lodge Society (COELS),No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.circleofeagles.com/sisters-lodge,"Provides temporary housing for homeless, at risk of homelessness, or chronically homeless Indigenous women.","Provides temporary housing for homeless, at risk of homelessness, or chronically homeless Indigenous women. Five beds are for women who need somewhere stable to live while they organize their life; they may be dealing with addiction, family violence, or other issues. Five beds function as a community residential facility designated for federally sentenced women who have been conditionally released to the community under the supervision of Correctional Service Canada (CSC). One bed is designated as an emergency bed with intake during business hours; referral required from a service provider (such as an outreach or support worker or counsellor). Services include counselling from an Elder, sweat lodges, and support in finding resources to assist with reintegration into society. Residents are required to be clean and sober, on time for curfew, phone to check in while out in the community, and not associate with men participating in the Circle of Eagles programs. 24-hour staff are available, with meals provided. Space includes seven single rooms and two double rooms. Stay is up to three years. Referral is through Ministry of Social Development and Poverty Reduction or from addiction services. Applicants must have at least 72 hours clean time to be eligible. Not wheelchair accessible, and no pets are allowed. Office hours are 8 am to 4 pm Monday to Friday. Receives funding from Lu'ma Native Housing Society.",604-874-1246,N/A,velmaa@coels.ca
Association Advocating for Women and Community (AWAC),N/A,"144 George Street, Prince George, BC V2L 1P9","144 George Street, Prince George, BC",V2L 1P9,53.91762153157895,-122.74130990789473,"https://www.google.com/maps/search/?api=1&query=144+George+Street,+Prince+George,+BC+V2L+1P9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=144+George+Street,+Prince+George,+BC+V2L+1P9",https://www.awaccommunityservices.org,Provides safe places for marginalized women and female youth.,"Provides safe places for marginalized women and female youth. Operates a 24-hour Emergency Shelter with 40 beds for self-identified women 19 years of age and over. Shelters accept self-referrals. Intake for Outreach Support Services is through BC Housing's Homeless Outreach Program and can be completed from 8:30 am to 5 pm Monday to Friday. The shelter cannot accommodate pets. Also operates a Drop-In Centre with meals and phone access; shower/laundry facilities are for shelter residents only. A dedicated support person provides outreach to both men and women age 19 and over who are homeless, at risk of becoming homeless, or difficult to house. Provides help with obtaining identification and income assistance. Connects individuals to housing options by providing support with the application process; rent and utility subsidies may be available. Also provides information and referral to community resources, and accompaniment to appointments such as medical or court. Funded as a Homelessness Outreach Program (HOP) by BC Housing. Office hours are 8:30 am to 5 pm Monday to Friday. Funded by BC Housing, Northern Health, and Federal Government through Reaching Home. Nonprofit society, registered charity.",250-562-6262,N/A,info@awaccommunityservices.org
Bartley Court Shelter West Kelowna,Turning Points Collaborative Society,"2515 Bartley Court, West Kelowna, BC V1Z 2M8","2515 Bartley Court, West Kelowna, BC",V1Z 2M8,,,"https://www.google.com/maps/search/?api=1&query=2515+Bartley+Court,+West+Kelowna,+BC+V1Z+2M8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=2515+Bartley+Court,+West+Kelowna,+BC+V1Z+2M8",https://www.turningpoints.ngo/continuum-of-care/shelter,"48-bed, all-gender inclusive shelter provides temporary housing for adults age 19 and over who are experiencing or at risk of homelessness or housing insecurity; open 24 hours a day, seven days a week.","48-bed, all-gender inclusive shelter provides temporary housing for adults age 19 and over who are experiencing or at risk of homelessness or housing insecurity; open 24 hours a day, seven days a week. Provides guests with meal services, showers, laundry, case planning, referrals to community services, and an overdose prevention site (OPS) on site; no alcohol consumption allowed on premises. Secure storage is available for belongings, and a registered storage area for bikes; shopping carts are not permitted. There is also a resource room available with books, games, and movies, as well as a bulletin board with employment and apartment rental notices. Wheelchair accessible. Pet friendly with a pet agreement. In-person registration takes places at 10 am, 4 pm, and 9 pm, on a first-come, first-served basis. Shelter diversion appointments are available between 2 pm and 4 pm Monday to Friday. During Extreme Weather Response (EWR) alerts, provides six emergency overflow mats between November 1 and March 31 when weather is extreme and a community alert is called. Funded by BC Housing.",778-583-4881,N/A,vanessa.kreway@turningpoints.ngo
Bay Avenue Shelter,Kelowna Gospel Mission Society,"858 Ellis Street, Kelowna, BC V1Y 1H5","858 Ellis Street, Kelowna, BC",V1Y 1H5,49.899602,-119.4937456,"https://www.google.com/maps/search/?api=1&query=858+Ellis+Street,+Kelowna,+BC+V1Y+1H5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=858+Ellis+Street,+Kelowna,+BC+V1Y+1H5",https://https://kelownagospelmission.ca,"Provides year-round, 24-hour emergency shelter with up to 65 pods for homeless adults age 19 and older; welcomes all genders.","Provides year-round, 24-hour emergency shelter with up to 65 pods for homeless adults age 19 and older; welcomes all genders. Services include three meals per day, shower and laundry facilities, personal hygiene products, clothing, counselling, access to local calls, referral to community services, and harm reduction services. Health-related services include 24-hour access to bed rest, daily pharmacy drop-off at the shelter, and home care through referral. Storage for one bike per resident is available, as well as two bins plus a locker for personal items. Allows one dog or cat per resident up to five maximum in the building. There is an overdose prevention site within the shelter as well as an inhalation outdoor site; accepts inebriated individuals on condition of respectful behaviour. Residents must be able to take care of themselves physically and mentally, and able to walk some stairs. Referral accepted from self or other. Intake hours are 8 am to 8 pm Monday daily and is on a first-come, first-served basis; accepts referral from self or other. Administration hours are 8 am to 4 pm Monday to Friday. Maximum stay is 90 days; extensions may be granted if participating in program goals. Not wheelchair accessible. Funded by BC Housing.",236-420-0899,250-763-3737,bayshelter@kelownagospelmission.ca
Belkin House Emergency Shelter for Men,The Salvation Army - BC Division,"555 Homer Street, Vancouver, BC V6B 1K8","555 Homer Street, Vancouver, BC",V6B 1K8,49.2824622,-123.11294590552633,"https://www.google.com/maps/search/?api=1&query=555+Homer+Street,+Vancouver,+BC+V6B+1K8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=555+Homer+Street,+Vancouver,+BC+V6B+1K8",https://www.belkinhousesa.ca,"Year-round, 54-bed high barrier emergency shelter for men (cisgender, transgender, Two-spirit, and non-binary).","Year-round, 54-bed high barrier emergency shelter for men (cisgender, transgender, Two-spirit, and non-binary). Includes five beds for men referred by Community Court. Provides shared rooms and three meals per day. 24-hour shelter with intake at any time; clients must return by 11 pm to keep their bed. Shelter residents can access their bed for bed rest; a doctor's note may be required. Clients must be off the shelter floors between 7:45 am and 12:30 pm on weekdays; and between 8:45 am and 1 pm on weekends. Health-related services include home nursing and home care through referral, and accommodation of oxygen tanks (but no storage). Alcohol- and drug-free environment. Stay is 30 days, with potential for extensions on a case-by-case basis; there is a 60 day cool down period between stays. Wheelchair accessible. No pets; no bikes or scooters in the building. Client may not bring more than two bags of belongings and must keep their belongings in the lockers at all times; belongings left behind after discharge will be held for two weeks before disposal. Also operates an extreme weather response shelter between November 1 and April 15 when weather is extreme.",604-694-6636,604-681-3405,belkinhouse.maleshelter@salvationarmy.ca
Belkin House Emergency Shelter for Women,The Salvation Army - BC Division,"555 Homer Street, Vancouver, BC V6B 1K8","555 Homer Street, Vancouver, BC",V6B 1K8,49.2824622,-123.11294590552633,"https://www.google.com/maps/search/?api=1&query=555+Homer+Street,+Vancouver,+BC+V6B+1K8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=555+Homer+Street,+Vancouver,+BC+V6B+1K8",https://www.belkinhousesa.ca,"Year-round, 28-bed high barrier shelter providing emergency housing and three meals per day for women (cisgender and transgender) ages 19 and over, with or without children.","Year-round, 28-bed high barrier shelter providing emergency housing and three meals per day for women (cisgender and transgender) ages 19 and over, with or without children. This includes a bed for women referred by Community Court. Accommodation is in shared rooms for up to four women, or for a family. The shelter can accommodate two families; a family is considered as a mother and two children, including boys ages 10 and under; spouse may not stay with the family but may be accommodated in the Male shelter if there is availability. Intake is 24-hours a day; clients must return by 11 pm to keep their bed. Shelter residents can access their bed for bed rest; a doctor's note may be required. Clients must be off the shelter floors between 7:45 am and 12:30 pm on weekdays; and between 8:45 am and 1 pm on weekends. Health-related services include home nursing and home care through referral, and accommodation of oxygen tanks (but no storage). Alcohol- and drug-free environment. Stay is 30 days, with potential for extensions on a case-by-case basis. There there is a 60 day cool down period between stays. Wheelchair accessible. No pets; no bikes or scooters in the building. Also operates an extreme weather response shelter between November 1 and April 15 when weather is extreme.",604-694-6623,604-681-3405,belkinhouse.womenshelter@salvationarmy.ca
Bill Reid Place - Emergency Housing,Options Community Services,"17752 Colebrook Road, Surrey, BC V3Z 1C1","17752 Colebrook Road, Surrey, BC",V3Z 1C1,49.09862825,-122.72801316352741,"https://www.google.com/maps/search/?api=1&query=17752+Colebrook+Road,+Surrey,+BC+V3Z+1C1","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=17752+Colebrook+Road,+Surrey,+BC+V3Z+1C1",https://www.options.bc.ca/program/shelters-housing-services,"Provides year-round, low-barrier, 24-hour emergency housing for 16 homeless adults.","Provides year-round, low-barrier, 24-hour emergency housing for 16 homeless adults. May be able to accommodate a couple on a case-by-case basis and if space is available. Services include showers, laundry facilities, and meals. Health-related services include 24-hour access to bed rest, medication storage, and home care support (through referral); oxygen tanks are permitted. No maximum length of stay; residency is reevaluated on a week-to-week basis. 24-hour intake; it is recommended to call first to see if there is space available. No alcohol or drug use allowed on site, and violence is not tolerated. Pets are welcome on a case by case basis if space is available. Wheelchair accessible, with a 15-minute walk to the nearest bus stop. Funded by BC Housing.",604-574-4341,N/A,N/A
Bridge to Housing,Island Crisis Care Society (ICCS),"Samaritan Place, 702 Nicol Street,Nanaimo, BC V9R 4V1","702 Nicol Street,Nanaimo, BC",V9R 4V1,49.15019505,-123.93403441863188,"https://www.google.com/maps/search/?api=1&query=Samaritan+Place,+702+Nicol+Street,Nanaimo,+BC+V9R+4V1","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Samaritan+Place,+702+Nicol+Street,Nanaimo,+BC+V9R+4V1",https://www.islandcrisiscaresociety.ca/programs/samaritan-place,Offers seven units with two beds each for vulnerable single women in crisis.,"Offers seven units with two beds each for vulnerable single women in crisis. Self referral/drop-in is possible for these beds, contingent on availability. Maximum length of stay is 30 days.",250-585-5505,N/A,info@iccare.ca
Bridget Moran Place Shelter,Active Support Against Poverty (ASAP),"590 Dominion Street, Prince George, BC V2L 5T4","590 Dominion Street, Prince George, BC",V2L 5T4,53.9165633,-122.7444719,"https://www.google.com/maps/search/?api=1&query=590+Dominion+Street,+Prince+George,+BC+V2L+5T4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=590+Dominion+Street,+Prince+George,+BC+V2L+5T4",N/A,"Minimal barrier shelter provides emergency housing for 45 adult men and women, with priority given to those who are homeless or at risk of homelessness.","Minimal barrier shelter provides emergency housing for 45 adult men and women, with priority given to those who are homeless or at risk of homelessness. Serves a meal to guests who have signed in for a bed. No storage facilities available. Pets are not allowed. Doors open at 2 pm. Clients must be out by 10 am from April 1st to October 30th; during the winter and extreme weather, they can remain inside. During extreme weather, also provides overflow sleeping spaces. Receives funding from BC Housing. Wheelchair accessible.",250-563-5531,N/A,N/A
Brigadier Arthur Cartmell House,The Salvation Army - BC Division,"Care and Share Centre, 45746 Yale Road,Chilliwack, BC V2P 2N4","45746 Yale Road,Chilliwack, BC",V2P 2N4,49.1604665,-121.9587329,"https://www.google.com/maps/search/?api=1&query=Care+and+Share+Centre,+45746+Yale+Road,Chilliwack,+BC+V2P+2N4","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Care+and+Share+Centre,+45746+Yale+Road,Chilliwack,+BC+V2P+2N4",https://www.chilliwacksa.ca/emergency-shelters,Provides a low-barrier emergency shelter for up to 20 women age 19 and over who are experiencing homelessness.,"Provides a low-barrier emergency shelter for up to 20 women age 19 and over who are experiencing homelessness. Accepts cisgender women. Offers three meals per day. Accepts pets on a case-by-case basis. Not wheelchair accessible. Storage containers and bike lock-up available, but no space for carts. Maximum stay is 30 days. Intake and shelter hours are 24 hours daily. Shelter closed for meal times from 11:30 am to 1:30 pm, and from 4:30 pm to 6:30 pm. Funded by BC Housing.",604-792-4486,N/A,N/A
Catholic Charities Men's Shelter,Catholic Charities,"1056 Comox Street, Vancouver, BC V6Z 1Y6","1056 Comox Street, Vancouver, BC",V6Z 1Y6,49.2859093,-123.135449,"https://www.google.com/maps/search/?api=1&query=1056+Comox+Street,+Vancouver,+BC+V6Z+1Y6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1056+Comox+Street,+Vancouver,+BC+V6Z+1Y6",https://rcav.org/shelter,"High-barrier, year-round emergency shelter for transient and destitute men age 19 and over; 108 beds.","High-barrier, year-round emergency shelter for transient and destitute men age 19 and over; 108 beds. Support services include breakfast and dinner onsite (plus a food voucher for lunch offsite), coffee/tea and snacks, donated clothing, and advocacy as well as a TV, a library, and a spiritual room. Health-related services include medication storage, oxygen tank storage, and recuperative care support. Zero tolerance for drugs, alcohol or violence on the property. People may be admitted when intoxicated, but cannot use on the premises. Accepts inebriated individuals on condition of respectful behaviour. Admitting hours are 4 pm to 12 midnight nightly; 10 pm curfew for returning men. The shelter must be vacated by 8 am. Not wheelchair accessible. Cannot accommodate pets. No cart storage, although there is storage available for bikes and for electronics. Accepts self-referrals.",604-443-3292,N/A,shelter@rcav.org
Cedar Branches Women's Shelter,Cowichan Women Against Violence Society,"1081 Canada Avenue, Duncan, BC V9L 1V2","1081 Canada Avenue, Duncan, BC",V9L 1V2,48.788388749999996,-123.7108891841031,"https://www.google.com/maps/search/?api=1&query=1081+Canada+Avenue,+Duncan,+BC+V9L+1V2","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1081+Canada+Avenue,+Duncan,+BC+V9L+1V2",https://www.cwav.org,Low-barrier shelter for 20 to 24 women (cisgender and transgender); residents are not expected to abstain from using alcohol or other substances.,"Low-barrier shelter for 20 to 24 women (cisgender and transgender); residents are not expected to abstain from using alcohol or other substances. Services include meals, shower facilities, laundry services, basic supports, and referrals to other services. No pets allowed. Women can self-refer to the shelter in person or by phone; may be put on a waitlist. Shelter is open 24 hours a day, seven days a week.",250-466-9492,250-748-7000,cedar.branches@cwav.org
Centre of Hope Emergency Shelter (Abbotsford),The Salvation Army - BC Division,"Centre of Hope, 34081 Gladys Avenue,Abbotsford, BC V2S 2E8","34081 Gladys Avenue,Abbotsford, BC",V2S 2E8,49.0437114,-122.27849038753607,"https://www.google.com/maps/search/?api=1&query=Centre+of+Hope,+34081+Gladys+Avenue,Abbotsford,+BC+V2S+2E8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Centre+of+Hope,+34081+Gladys+Avenue,Abbotsford,+BC+V2S+2E8",https://www.centreofhope.net/what-we-do/emergency-shelter,Provides emergency shelter for 38 homeless adults of any gender; 10 female and 28 male beds are located in separate spaces.,"Provides emergency shelter for 38 homeless adults of any gender; 10 female and 28 male beds are located in separate spaces. Services include three meals per day, shower and laundry facilities, clothing and hygiene kits, medical attention, access to local calling, and referral to community resources. Clients must meet case planners to discuss their housing plans. Nursing, outreach, and family services are also available. An income assistance worker can help people with issues regarding Ministry of Social Development and Poverty Reduction (MSDPR) on Thursdays. Pastor is available on most days. Secure storage of belongings is available while staying in shelter; items must fit into one buggy. Zero tolerance for drugs or alcohol on the property. The shelter opens at 3:30 pm and closes at 8 am; check for space availability with case manager or outreach worker from 9:30 am to 3:30 pm Monday to Friday. Length of stay is dependent on the personal development plan. The shelter can accommodate a limited number of pets. Wheelchair accessible, but with limited capacity. Serves Abbotsford and Mission. Services are partially funded by BC Housing.",604-852-9305,N/A,cascade-shelter@salvationarmy.ca
Centre of Hope Emergency Shelter (Port Hardy),The Salvation Army - BC Division,"Unit A-7305 Market Street, Port Hardy, BC V0N 2P0","7305 Market Street, Port Hardy, BC",V0N 2P0,50.7237686,-127.492382,"https://www.google.com/maps/search/?api=1&query=Unit+A-7305+Market+Street,+Port+Hardy,+BC+V0N+2P0","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Unit+A-7305+Market+Street,+Port+Hardy,+BC+V0N+2P0",https://www.waddingtonhope.ca,"Low barrier shelter provides 16 beds of year-round emergency housing for adults of all genders ages 19 and over; offered on a first-come, first-served basis.","Low barrier shelter provides 16 beds of year-round emergency housing for adults of all genders ages 19 and over; offered on a first-come, first-served basis. Meal programming included; community lunch available for all. Storage space for carts is not available. There is a bike rack outside. Pets cannot be accommodated. Wheelchair accessible. Staffed 24 hours.",250-949-8125,N/A,waddingtonhope@givinghope.ca
Cheam Shelter,Cheam First Nation,"52161 Victor Drive, Rosedale, BC V0X 1X1","52161 Victor Drive, Rosedale, BC",V0X 1X1,,,"https://www.google.com/maps/search/?api=1&query=52161+Victor+Drive,+Rosedale,+BC+V0X+1X1","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=52161+Victor+Drive,+Rosedale,+BC+V0X+1X1",https://cheam.ca,Provides emergency shelter for 15 homeless adults.,Provides emergency shelter for 15 homeless adults.,N/A,N/A,N/A
